A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
0,very_low,very_low,very_high,very_low,high,medium,low,good
1,low,very_low,very_high,high,medium,medium,low,good
2,medium,medium,low,very_low,very_high,low,very_high,bad
3,medium,low,very_high,low,very_high,very_low,high,good
4,very_high,medium,medium,very_low,very_high,very_low,medium,good
5,very_low,low,low,very_low,very_low,high,very_low,bad
6,very_high,very_high,high,very_low,very_high,very_low,very_high,good
7,low,high,very_high,very_low,medium,high,low,good
8,very_low,very_low,high,very_low,very_high,very_high,very_low,bad
9,medium,high,very_low,low,medium,high,very_high,bad
10,very_low,medium,low,very_low,very_high,very_high,very_low,bad
11,very_high,high,low,medium,very_low,high,high,good
12,medium,low,low,very_high,very_low,low,very_low,bad
13,low,low,very_high,high,medium,medium,high,good
14,very_high,high,low,medium,very_low,medium,high,good
15,very_low,very_low,very_high,medium,very_high,low,low,good
16,low,low,very_low,medium,very_high,very_high,low,bad
17,medium,very_low,high,very_high,high,very_low,high,good
18,medium,very_high,very_low,very_high,medium,low,very_high,bad
19,low,very_high,low,very_high,high,very_low,low,good
20,very_low,very_low,very_low,medium,very_high,very_high,high,bad
21,very_high,medium,low,very_high,high,very_low,very_high,good
22,very_low,medium,high,low,very_high,medium,very_high,bad
23,high,medium,very_low,medium,medium,medium,very_high,bad
24,high,low,medium,high,very_low,very_low,low,bad
25,low,very_low,low,low,very_low,high,very_low,bad
26,medium,high,high,high,very_high,medium,very_low,good
27,very_high,very_high,very_low,very_high,low,medium,very_low,bad
28,very_high,very_high,low,high,low,very_low,low,bad
29,medium,very_high,low,low,low,medium,high,bad
30,high,low,very_low,very_low,very_low,very_high,very_low,bad
31,very_low,high,very_high,medium,very_high,very_low,very_low,good
32,very_high,very_low,medium,very_low,very_high,low,high,good
33,medium,medium,very_high,low,very_high,very_low,very_high,bad
34,medium,medium,very_high,very_high,medium,high,very_high,good
35,medium,very_low,very_low,medium,medium,very_high,low,bad
36,very_low,very_high,low,high,high,low,low,good
37,very_high,low,very_low,high,medium,high,very_low,good
38,low,very_low,very_high,low,high,high,very_low,good
39,very_high,very_low,high,high,very_high,very_low,very_high,good
40,very_high,low,medium,high,medium,low,high,bad
41,medium,low,very_high,very_high,medium,high,very_high,good
42,low,very_low,very_high,low,low,high,low,bad
43,high,very_high,high,high,very_low,very_low,medium,bad
44,very_high,very_high,very_low,high,medium,high,very_high,good
45,high,high,medium,very_high,low,very_low,high,good
46,medium,medium,medium,high,high,medium,very_low,good
47,low,very_high,very_low,medium,high,very_high,very_high,bad
48,very_low,very_high,low,medium,high,very_high,high,bad
49,low,very_high,very_low,medium,low,very_high,very_high,bad
50,very_low,very_high,high,very_low,low,high,very_low,good
51,medium,low,very_low,low,high,medium,high,bad
52,very_high,very_low,very_low,very_high,medium,low,high,good
53,very_high,low,high,very_high,high,high,low,good
54,very_high,very_low,very_low,very_low,very_high,high,medium,good
55,very_high,medium,very_low,very_high,high,low,very_high,good
56,very_high,high,medium,low,low,very_high,very_low,good
57,high,medium,very_high,medium,low,very_high,very_high,good
58,medium,high,medium,very_high,very_high,low,low,good
59,high,very_high,low,very_low,very_high,low,high,good
60,very_low,very_high,high,medium,very_high,very_low,very_low,good
61,very_low,very_high,medium,very_low,medium,very_high,low,bad
62,very_low,medium,very_high,high,medium,medium,high,bad
63,high,very_low,medium,very_low,low,medium,medium,good
64,very_low,medium,very_high,very_low,high,high,low,good
65,very_low,very_high,very_high,low,high,very_low,very_high,good
66,very_low,very_high,high,very_high,very_low,very_low,medium,good
67,low,very_high,very_high,high,very_high,very_low,very_high,bad
68,low,high,low,low,low,very_high,medium,bad
69,medium,very_low,low,very_high,very_low,low,very_low,bad
70,high,very_low,very_high,low,low,very_high,very_low,bad
71,very_high,very_low,very_high,very_low,very_high,very_low,very_high,good
72,high,low,very_low,very_low,very_high,very_high,high,bad
73,high,medium,high,high,very_low,low,medium,bad
74,very_low,medium,low,low,very_low,very_high,low,bad
75,very_high,low,very_low,high,very_high,medium,high,good
76,very_high,very_high,very_low,very_low,high,very_high,medium,good
77,high,high,medium,low,medium,low,medium,bad
78,very_low,very_high,very_low,very_low,high,very_high,low,bad
79,very_low,low,very_high,very_high,medium,low,very_low,bad
80,very_high,high,medium,very_low,medium,medium,very_high,good
81,very_low,very_low,very_high,medium,high,low,low,good
82,very_high,medium,very_low,very_low,very_high,high,very_low,bad
83,very_high,very_low,high,very_high,medium,very_low,high,good
84,very_high,low,low,high,medium,very_high,medium,good
85,medium,very_low,very_low,high,medium,very_high,low,bad
86,very_high,medium,low,high,medium,very_high,medium,good
87,high,medium,high,very_low,high,very_low,high,good
88,low,high,low,low,medium,very_high,low,bad
89,very_high,high,low,medium,medium,medium,medium,bad
90,high,very_high,very_low,medium,medium,high,very_low,good
91,medium,medium,medium,medium,high,medium,very_low,good
92,medium,very_low,medium,very_high,medium,very_high,high,bad
93,low,low,very_high,very_low,medium,medium,low,good
94,high,low,very_low,low,high,very_high,low,bad
95,very_high,medium,low,high,low,low,high,good
96,medium,low,low,very_low,very_high,very_high,low,bad
97,very_high,medium,low,medium,very_high,low,very_high,good
98,medium,very_high,very_low,very_high,very_low,low,very_low,good
99,low,very_high,high,very_low,medium,high,very_low,good
100,low,medium,high,high,high,medium,medium,good
101,low,low,very_high,medium,high,medium,low,good
102,low,very_low,high,high,low,medium,very_low,bad
103,low,very_high,high,medium,very_high,low,low,good
104,low,high,very_high,high,medium,low,very_high,bad
105,medium,low,medium,very_low,very_low,high,very_low,bad
106,medium,low,very_high,very_high,very_high,medium,very_high,good
107,very_high,very_low,low,very_low,high,medium,medium,good
108,high,very_low,medium,high,very_low,medium,low,bad
109,very_high,very_low,high,medium,very_low,very_high,medium,bad
110,very_high,medium,medium,very_low,low,very_high,very_low,good
111,low,high,high,very_high,high,medium,medium,good
112,high,very_low,low,very_low,very_high,medium,high,good
113,low,low,medium,low,high,low,very_high,bad
114,low,very_low,very_low,low,very_high,high,very_high,bad
115,high,low,medium,very_high,very_high,medium,high,bad
116,low,very_low,very_low,very_low,very_high,very_high,high,bad
117,low,medium,medium,high,very_low,medium,very_high,bad
118,very_low,very_high,medium,low,very_high,very_low,very_low,good
119,medium,very_low,low,medium,very_low,high,low,bad
120,very_low,medium,very_high,very_high,low,medium,high,bad
121,medium,high,low,medium,low,high,medium,bad
122,very_low,medium,low,low,low,very_high,low,bad
